LRU序号,最后修改时间_AsiaShanghai,距审计日天数,类别,路径,大小_字节,治理状态,治理优先级,静态引用文件数,引用样例_最多3个,Last_materially_modified,建议治理动作,误删风险,说明
53,2026-07-17T14:37:56+08:00,17.69,代码,live/venues/bybit.py,22283,已治理：2026-07-27,P4,1,tests/test_bybit_reference.py,,保留 Bybit public spot/perp WS/REST reference adapter,高,live external source factory 和回归测试使用
54,2026-07-17T14:37:56+08:00,17.69,代码,live/venues/okx.py,21116,已治理：2026-07-27,P4,1,tests/test_okx_reference.py,,保留 OKX public spot/perp WS/REST reference adapter,高,live external source factory 和回归测试使用
55,2026-07-17T14:39:34+08:00,17.69,代码,requirements.txt,218,待复核：进入 LRU 中段,P3,1,project.md,,按消费者、单位、时钟、baseline 与研究身份检查是否同步,高,mtime 不是过期证明
56,2026-07-17T14:47:05+08:00,17.69,测试,tests/test_cpp_signal_features.py,6409,保留：回归/合同测试,P4,1,.github/workflows/ci.yml,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,高,测试零静态引用属正常，不是删除证据
57,2026-07-17T14:47:05+08:00,17.69,测试,tests/test_cpp_global_flow.py,9237,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
58,2026-07-17T14:52:26+08:00,17.68,测试,tests/test_cpp_tick_replay_golden_parity.py,4759,保留：回归/合同测试,P4,1,docs/dev/ci.md,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,高,测试零静态引用属正常，不是删除证据
59,2026-07-17T14:59:41+08:00,17.68,代码,bench/bench_live_path.py,13769,已治理：2026-07-27,P4,3,project.md | scripts/x86_live_benchmark.sh | scripts/x86_live_soak.sh,,保留 native live-path boundary benchmark,高,结果必须绑定 host/build/profile identity
60,2026-07-17T17:30:13+08:00,17.57,工程配置,examples/live_dry_run_config.yaml,1426,已治理：2026-07-27,P4,1,docs/ops/live_dry_run.md,,保留 no-order dry-run 配置示例,高,operations guide 直接引用且 strict config 可加载
61,2026-07-17T17:31:08+08:00,17.57,代码,live/venues/common.py,9764,已治理：2026-07-27,P4,6,live/venues/bitget.py | live/venues/bybit.py | live/venues/okx.py,,保留同步 callback 的 tape normalization 与 bounded recorder primitives,高,已回滚 worker dispatcher；三个 venue adapters 仍共享当前实现
62,2026-07-17T17:31:08+08:00,17.57,测试,tests/test_live_fill_cooldown_policy.py,5420,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
63,2026-07-17T17:32:38+08:00,17.57,测试,tests/test_bitget_reference.py,9392,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
64,2026-07-17T17:32:38+08:00,17.57,测试,tests/test_bybit_reference.py,6655,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
65,2026-07-17T17:33:23+08:00,17.57,代码,bench/bench_live_routing_bridge.py,2912,已治理：2026-07-27,P4,3,project.md | scripts/x86_live_benchmark.sh | scripts/x86_live_soak.sh,,保留 compact tuple pybind boundary microbenchmark,高,旧 dict ABI 已删除；当前 compact benchmark 可运行且结果须绑定环境
66,2026-07-17T17:59:14+08:00,17.55,代码,models/quote_context_batch.py,14737,已治理：2026-07-27,P4,2,research/families/f04_external_market_alpha/cross_market_shock_audit.py | research/families/f05_fill_quality_quote_ev/train_quote_ev.py,,保留 quote context batch materialization helper,高,current shock audit 与 quote-EV shadow training 使用
67,2026-07-17T17:59:14+08:00,17.55,代码,models/alpha_evidence_ledger.py,36888,已治理：2026-07-27,P4,3,docs/audit_entrypoints_20260630.md | docs/codebase_architecture_20260705.md | tests/test_alpha_evidence_units.py,,保留 fill-level alpha evidence diagnostic ledger,高,不是参数 optimizer；单位契约与 CLI 通过
68,2026-07-17T17:59:38+08:00,17.55,测试,tests/test_bitget_reference_features.py,5058,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
69,2026-07-17T22:14:24+08:00,17.38,测试,tests/test_audit_loaders.py,882,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
70,2026-07-17T22:18:23+08:00,17.37,测试,tests/test_adaptive_controls.py,7248,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
71,2026-07-17T23:06:46+08:00,17.34,测试,tests/test_tick_ab_registry.py,1855,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
72,2026-07-17T23:07:19+08:00,17.34,代码,models/audit/support.py,6372,被引用内容同步审计,P2,9,research/families/f01_fixed_parameter_racing/campaign_outcome_replay_audit.py | research/families/f04_external_market_alpha/audit/external_venue_shadow_panel.py | research/families/f05_fill_quality_quote_ev/audit/fill_toxicity.py,,沿引用样例核对接口、结论和命令；修正文档或迁移调用方,高,有消费者，治理前必须处理依赖
73,2026-07-17T23:07:29+08:00,17.34,代码,data/build_external_reference_features.py,12259,被引用内容同步审计,P2,2,pipeline.py | tests/test_bitget_reference_features.py,,沿引用样例核对接口、结论和命令；修正文档或迁移调用方,高,有消费者，治理前必须处理依赖
74,2026-07-18T00:09:45+08:00,17.3,代码,scripts/analyze_live_soak.py,16259,被引用内容同步审计,P2,4,README.md | README.zh-CN.md | project.md,,沿引用样例核对接口、结论和命令；修正文档或迁移调用方,高,有消费者，治理前必须处理依赖
75,2026-07-18T17:51:32+08:00,16.56,代码,live/venues/bitget.py,17459,被引用内容同步审计,P2,1,tests/test_bitget_reference.py,,沿引用样例核对接口、结论和命令；修正文档或迁移调用方,高,有消费者，治理前必须处理依赖
76,2026-07-19T17:52:07+08:00,15.56,代码,research/families/f09_campaign_action_uplift/audit/offline_policy_evaluation.py,53571,被引用内容同步审计,P2,17,README.md | README.zh-CN.md | docs/audit_entrypoints_20260630.md,,沿引用样例核对接口、结论和命令；修正文档或迁移调用方,高,有消费者，治理前必须处理依赖
77,2026-07-19T21:24:45+08:00,15.41,代码,research/families/f09_campaign_action_uplift/audit/safe_policy_improvement.py,16609,被引用内容同步审计,P2,2,research/governance/migrations/layout_v2.json | tests/test_safe_policy_improvement.py,,沿引用样例核对接口、结论和命令；修正文档或迁移调用方,高,有消费者，治理前必须处理依赖
78,2026-07-20T00:24:10+08:00,15.29,测试,tests/test_live_maker_close_ioc.py,2723,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
79,2026-07-20T02:12:13+08:00,15.21,冻结规范/登记表,research/families/f10_live_replay_attribution/docs/operational_baseline_identity_20260720.json,2898,受保护：历史/冻结证据,P3,4,.github/skills/mm-as-glft-ml-spread/SKILL.md | project.md | research/families/f10_live_replay_attribution/docs/historical_backtest_evidence_revalidation_20260720.md,,核对身份、hash 与 current/superseded 声明；禁止因年龄改写结论,高,冻结证据只允许索引、路径解析与解释层治理
80,2026-07-20T02:20:39+08:00,15.2,文档,research/system_engineering/docs/aws_tokyo_market_data_latency_stable_20260712.md,5668,被引用内容同步审计,P2,2,project.md | research/governance/migrations/layout_v2.json,,沿引用样例核对接口、结论和命令；修正文档或迁移调用方,高,有消费者，治理前必须处理依赖
81,2026-07-20T14:47:40+08:00,14.69,测试,tests/test_active_order_queue.py,6337,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
82,2026-07-20T17:11:36+08:00,14.59,代码,data/download_binance_vision.py,12005,被引用内容同步审计,P2,1,pipeline.py,,沿引用样例核对接口、结论和命令；修正文档或迁移调用方,高,有消费者，治理前必须处理依赖
83,2026-07-20T17:15:24+08:00,14.58,代码,research/families/f07_active_order_continuation/audit/active_order_queue_closure.py,6815,被引用内容同步审计,P2,2,research/governance/migrations/layout_v2.json | tests/test_active_order_queue_closure.py,,沿引用样例核对接口、结论和命令；修正文档或迁移调用方,高,有消费者，治理前必须处理依赖
84,2026-07-20T17:24:40+08:00,14.58,测试,tests/test_preprocess_metrics.py,2677,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
85,2026-07-21T03:27:13+08:00,14.16,代码,models/audit/native_exchange_book_universe.py,8897,被引用内容同步审计,P2,1,tests/test_native_exchange_book_universe.py,,沿引用样例核对接口、结论和命令；修正文档或迁移调用方,高,有消费者，治理前必须处理依赖
86,2026-07-21T03:27:31+08:00,14.16,测试,tests/test_native_exchange_book_universe.py,3103,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
87,2026-07-21T04:16:57+08:00,14.12,代码,models/tick_data_types.py,12578,被引用内容同步审计,P2,28,models/backtest_tick.py | models/data_windows.py | models/exchange_book_replay.py,,沿引用样例核对接口、结论和命令；修正文档或迁移调用方,高,有消费者，治理前必须处理依赖
88,2026-07-21T05:22:18+08:00,14.08,代码,research/families/f07_active_order_continuation/audit/queue_value_models.py,75306,被引用内容同步审计,P2,8,models/backtest_tick.py | research/families/f07_active_order_continuation/audit/local_order_value_replay.py | research/families/f07_active_order_continuation/audit/queue_value_competing_risk.py,,沿引用样例核对接口、结论和命令；修正文档或迁移调用方,高,有消费者，治理前必须处理依赖
89,2026-07-21T17:33:29+08:00,13.57,文档,research/families/f07_active_order_continuation/docs/native_exchange_book_replay_scheduler_20260720.md,12977,受保护：历史/冻结证据,P3,4,docs/research/README.md | project.md | research/families/f07_active_order_continuation/docs/deep_active_order_queue_probe_20260720.md,,核对身份、hash 与 current/superseded 声明；禁止因年龄改写结论,高,冻结证据只允许索引、路径解析与解释层治理
90,2026-07-21T17:33:29+08:00,13.57,文档,research/families/f07_active_order_continuation/docs/deep_active_order_queue_probe_20260720.md,12689,受保护：历史/冻结证据,P3,5,README.md | README.zh-CN.md | project.md,,核对身份、hash 与 current/superseded 声明；禁止因年龄改写结论,高,冻结证据只允许索引、路径解析与解释层治理
91,2026-07-21T19:15:07+08:00,13.5,测试,tests/test_time_unit_contracts.py,13294,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
92,2026-07-21T21:19:05+08:00,13.41,代码,research/families/f10_live_replay_attribution/audit/live_order_fill_closure.py,9098,被引用内容同步审计,P2,2,research/governance/migrations/layout_v2.json | tests/test_live_order_fill_closure.py,,沿引用样例核对接口、结论和命令；修正文档或迁移调用方,高,有消费者，治理前必须处理依赖
93,2026-07-21T23:31:30+08:00,13.32,测试,tests/test_exec_book_visibility_delay.py,11512,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
94,2026-07-22T00:35:02+08:00,13.28,文档,research/system_engineering/docs/formal_replay_contract_20260722.md,4409,被引用内容同步审计,P2,2,project.md | research/governance/migrations/layout_v2.json,,沿引用样例核对接口、结论和命令；修正文档或迁移调用方,高,有消费者，治理前必须处理依赖
95,2026-07-22T01:30:59+08:00,13.24,测试,tests/test_state_conditioned_rearm.py,2855,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
96,2026-07-22T05:48:00+08:00,13.06,测试,tests/test_first_add_skip_replay.py,4212,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
97,2026-07-22T06:23:20+08:00,13.04,测试,tests/test_replay_action_policy.py,6201,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
98,2026-07-22T17:30:42+08:00,12.57,代码,models/audit/experiment_manifest.py,14042,被引用内容同步审计,P2,31,research/families/f04_external_market_alpha/docs/cross_venue_reference_to_alpha_roadmap_20260711.md | research/families/f06_placement_fill_cif/audit/competing_curve_fill_cif.py | research/families/f06_placement_fill_cif/audit/direct_fill_cif.py,,沿引用样例核对接口、结论和命令；修正文档或迁移调用方,高,有消费者，治理前必须处理依赖
99,2026-07-22T18:13:07+08:00,12.54,测试,tests/test_experiment_manifest.py,5357,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
100,2026-07-22T18:29:29+08:00,12.53,代码,models/replay_policies.py,26090,被引用内容同步审计,P2,20,models/backtest_tick.py | research/families/f09_campaign_action_uplift/audit/local_action_ope_report.py | research/families/f09_campaign_action_uplift/audit/local_action_uplift.py,,沿引用样例核对接口、结论和命令；修正文档或迁移调用方,高,有消费者，治理前必须处理依赖
101,2026-07-22T21:51:30+08:00,12.39,代码,research/families/f09_campaign_action_uplift/audit/toxic_fill_selectivity.py,17268,被引用内容同步审计,P2,6,research/families/f09_campaign_action_uplift/audit/local_action_ope_report.py | research/families/f09_campaign_action_uplift/audit/local_action_uplift.py | research/families/f09_campaign_action_uplift/audit/randomized_action_contrast.py,,沿引用样例核对接口、结论和命令；修正文档或迁移调用方,高,有消费者，治理前必须处理依赖
102,2026-07-23T01:16:14+08:00,12.25,文档,research/families/f07_active_order_continuation/docs/queue_value_net_hazard_keep_cancel_v2_20260722.md,7046,受保护：历史/冻结证据,P3,5,docs/research/README.md | project.md | research/families/f01_fixed_parameter_racing/docs/fixed_parameter_strategy_family_closed.md,,核对身份、hash 与 current/superseded 声明；禁止因年龄改写结论,高,冻结证据只允许索引、路径解析与解释层治理
103,2026-07-23T05:32:56+08:00,12.07,代码,research/families/f07_active_order_continuation/audit/local_order_value_panel.py,31891,被引用内容同步审计,P2,5,research/families/f07_active_order_continuation/audit/local_order_value_replay.py | research/families/f09_campaign_action_uplift/audit/local_action_uplift.py | research/governance/migrations/layout_v2.json,,沿引用样例核对接口、结论和命令；修正文档或迁移调用方,高,有消费者，治理前必须处理依赖
104,2026-07-23T07:03:02+08:00,12.01,代码,research/families/f08_side_taker_lifecycle/audit/event_identity_and_riskset.py,14734,被引用内容同步审计,P2,2,research/governance/migrations/layout_v2.json | tests/test_event_identity_and_riskset.py,,沿引用样例核对接口、结论和命令；修正文档或迁移调用方,高,有消费者，治理前必须处理依赖
